time,value
2024-07-07T00:24:09.757677858Z,{"lat":11.109812009827296,"lon":106.61892293198252}
2024-07-07T00:24:10.762192855Z,{"lat":11.109663965784577,"lon":106.61897966317784}
2024-07-07T00:24:11.782964722Z,{"lat":11.109537062161223,"lon":106.61902714414931}
2024-07-07T00:24:12.817359321Z,{"lat":11.109416025515072,"lon":106.61907990778066}
2024-07-07T00:24:13.8094515Z,{"lat":11.10929834754765,"lon":106.61913723975636}
2024-07-07T00:24:14.819986529Z,{"lat":11.109173470646345,"lon":106.61920942905112}
2024-07-07T00:24:15.820279615Z,{"lat":11.10905877382079,"lon":106.61930891422996}
2024-07-07T00:24:16.839714746Z,{"lat":11.108956939494876,"lon":106.61941777261603}
2024-07-07T00:24:17.85977225Z,{"lat":11.108855370828959,"lon":106.61951895796088}
2024-07-07T00:24:18.869618426Z,{"lat":11.108745277456809,"lon":106.61960434911047}
2024-07-07T00:24:19.889646666Z,{"lat":11.10861844639149,"lon":106.6196824323531}
2024-07-07T00:24:20.894595809Z,{"lat":11.108503829107045,"lon":106.61975862239055}
2024-07-07T00:24:21.930062101Z,{"lat":11.108412386657884,"lon":106.61982329919041}
2024-07-07T00:24:22.938279903Z,{"lat":11.108327643403065,"lon":106.61987978015118}
2024-07-07T00:24:23.961239748Z,{"lat":11.108246123946843,"lon":106.61993913631625}
2024-07-07T00:24:24.961056855Z,{"lat":11.108174638022195,"lon":106.62000262117435}
2024-07-07T00:24:25.971144138Z,{"lat":11.108109139060698,"lon":106.62006177906245}
2024-07-07T00:24:26.99104229Z,{"lat":11.108051471210414,"lon":106.62009991108967}
2024-07-07T00:24:28.010917858Z,{"lat":11.108022095788856,"lon":106.62012607399738}
2024-07-07T00:24:29.006365562Z,{"lat":11.10800833601592,"lon":106.62014178382319}
2024-07-07T00:24:30.04107593Z,{"lat":11.108003451827193,"lon":106.62014733434317}
2024-07-07T00:24:31.041269208Z,{"lat":11.108009650766721,"lon":106.62014179885284}
2024-07-07T00:24:32.071170502Z,{"lat":11.108021148414853,"lon":106.620121485239}
2024-07-07T00:24:33.091231031Z,{"lat":11.108015789211613,"lon":106.62012085425425}
2024-07-07T00:24:34.111374045Z,{"lat":11.108012171268719,"lon":106.62012420570349}
2024-07-07T00:24:35.120945376Z,{"lat":11.108010831326249,"lon":106.62012750464073}
2024-07-07T00:24:36.141018219Z,{"lat":11.108007917221345,"lon":106.62012795257682}
2024-07-07T00:24:37.151338587Z,{"lat":11.108010285768959,"lon":106.62012932087721}
2024-07-07T00:24:38.178372843Z,{"lat":11.108006070709457,"lon":106.6201299304874}
2024-07-07T00:24:39.206212962Z,{"lat":11.108002062453481,"lon":106.62012933779559}
2024-07-07T00:24:40.21133371Z,{"lat":11.108002363926143,"lon":106.62012635581434}
2024-07-07T00:24:41.231182653Z,{"lat":11.108007805564325,"lon":106.62012467351707}
2024-07-07T00:24:42.241522278Z,{"lat":11.108008210952585,"lon":106.62012748460171}
2024-07-07T00:24:43.252532037Z,{"lat":11.10801281196366,"lon":106.62012109151078}
2024-07-07T00:24:44.271224113Z,{"lat":11.108015456502873,"lon":106.62012137682633}
2024-07-07T00:24:45.291164802Z,{"lat":11.108012428558512,"lon":106.62012657420294}
2024-07-07T00:24:46.311123907Z,{"lat":11.108015093407994,"lon":106.62012304665289}
2024-07-07T00:24:47.326430462Z,{"lat":11.108015556199296,"lon":106.62012425320617}
2024-07-07T00:24:48.331152401Z,{"lat":11.108018348060263,"lon":106.62012113360576}
2024-07-07T00:24:49.361330865Z,{"lat":11.10802413145944,"lon":106.62011804828424}
2024-07-07T00:24:50.371286306Z,{"lat":11.10802105963223,"lon":106.62011437718854}
2024-07-07T00:24:51.394360164Z,{"lat":11.1080173378179,"lon":106.62011513685668}
2024-07-07T00:24:52.411794599Z,{"lat":11.108017032138097,"lon":106.62011504163459}
2024-07-07T00:24:53.431227787Z,{"lat":11.108016483431284,"lon":106.6201182229256}
2024-07-07T00:24:54.441377183Z,{"lat":11.108017678675024,"lon":106.62011943126082}
2024-07-07T00:24:55.451418616Z,{"lat":11.108019106076442,"lon":106.62012138318407}
2024-07-07T00:24:56.4710594Z,{"lat":11.108021866170485,"lon":106.62011480383154}
2024-07-07T00:24:57.491129448Z,{"lat":11.1080292973474,"lon":106.6201128564122}
2024-07-07T00:24:58.511818734Z,{"lat":11.107996905162238,"lon":106.62014443234601}
2024-07-07T00:24:59.52117725Z,{"lat":11.10793344055104,"lon":106.6201948825494}
2024-07-07T00:25:00.541146115Z,{"lat":11.10785041797115,"lon":106.6202657441103}
2024-07-07T00:25:01.561299482Z,{"lat":11.107777117416973,"lon":106.62033359914756}
2024-07-07T00:25:02.591571165Z,{"lat":11.107695817577731,"lon":106.62040521338547}
2024-07-07T00:25:03.599803768Z,{"lat":11.107612533565252,"lon":106.62048117872348}
2024-07-07T00:25:04.619374403Z,{"lat":11.107525533074858,"lon":106.62054926566299}
2024-07-07T00:25:05.63233722Z,{"lat":11.10745536299926,"lon":106.62060860444059}
2024-07-07T00:25:06.624377076Z,{"lat":11.107395873120659,"lon":106.62066342889652}
2024-07-07T00:25:07.651372763Z,{"lat":11.107341651288388,"lon":106.6207147308014}
2024-07-07T00:25:08.672985744Z,{"lat":11.1072702270706,"lon":106.62077965132967}
2024-07-07T00:25:09.691188515Z,{"lat":11.10719151557794,"lon":106.6208510051615}
2024-07-07T00:25:10.711212741Z,{"lat":11.107093374456001,"lon":106.62094105562497}
2024-07-07T00:25:11.721259837Z,{"lat":11.106984940281855,"lon":106.62105178758152}
2024-07-07T00:25:12.741425001Z,{"lat":11.106866044390303,"lon":106.62114916644084}
2024-07-07T00:25:13.75091974Z,{"lat":11.10675231947096,"lon":106.62121707179207}
2024-07-07T00:25:14.770939861Z,{"lat":11.106652189616721,"lon":106.62128854400397}
2024-07-07T00:25:15.791057295Z,{"lat":11.106561971475776,"lon":106.6213788291945}
2024-07-07T00:25:16.81116851Z,{"lat":11.106451116407472,"lon":106.62148155908702}
2024-07-07T00:25:17.824109883Z,{"lat":11.10632638576515,"lon":106.6215972078066}
2024-07-07T00:25:18.84113458Z,{"lat":11.106193811760784,"lon":106.6217115000486}
2024-07-07T00:25:19.850927471Z,{"lat":11.106058457085796,"lon":106.62182326433442}
2024-07-07T00:25:20.884349132Z,{"lat":11.105919637691196,"lon":106.62195011748858}
2024-07-07T00:25:21.893008171Z,{"lat":11.105775853611165,"lon":106.6220665617773}
2024-07-07T00:25:22.902279643Z,{"lat":11.1056271306865,"lon":106.6221683992123}
2024-07-07T00:25:23.925265949Z,{"lat":11.105493829289193,"lon":106.62227349544493}
2024-07-07T00:25:24.953027459Z,{"lat":11.105372267242064,"lon":106.62238023421487}
2024-07-07T00:25:25.962055632Z,{"lat":11.105262881635353,"lon":106.62247606583995}
2024-07-07T00:25:26.955608695Z,{"lat":11.105161380346388,"lon":106.62257151288182}
2024-07-07T00:25:27.967646079Z,{"lat":11.105049974099288,"lon":106.6226548788123}
2024-07-07T00:25:29.005470059Z,{"lat":11.104934254775852,"lon":106.62273442247393}
2024-07-07T00:25:30.010423909Z,{"lat":11.104836438890645,"lon":106.62281406940541}
2024-07-07T00:25:31.022136817Z,{"lat":11.104723550379916,"lon":106.62289796414612}
2024-07-07T00:25:32.057354851Z,{"lat":11.104595865797895,"lon":106.62298318966785}
2024-07-07T00:25:33.072287189Z,{"lat":11.104458554434794,"lon":106.62305944277709}
2024-07-07T00:25:34.09220811Z,{"lat":11.104323131531851,"lon":106.62313245212097}
2024-07-07T00:25:35.102244214Z,{"lat":11.104188535684422,"lon":106.62320911734881}
2024-07-07T00:25:36.12288589Z,{"lat":11.104064652405954,"lon":106.62328474406152}
2024-07-07T00:25:37.142361543Z,{"lat":11.103944413561006,"lon":106.62335396019915}
2024-07-07T00:25:38.152259243Z,{"lat":11.10383487509414,"lon":106.62342175089873}
2024-07-07T00:25:39.175209734Z,{"lat":11.103726368424736,"lon":106.62349138035106}
2024-07-07T00:25:40.192024576Z,{"lat":11.103601918006785,"lon":106.6235610036261}
2024-07-07T00:25:41.187810104Z,{"lat":11.103471110327947,"lon":106.62362202570144}
2024-07-07T00:25:42.222324594Z,{"lat":11.103336163497003,"lon":106.62369877009232}
2024-07-07T00:25:43.481548651Z,{"lat":11.103186277932855,"lon":106.62378663075134}
2024-07-07T00:25:44.236341663Z,{"lat":11.103037845167538,"lon":106.62387219688479}
2024-07-07T00:25:45.268646485Z,{"lat":11.102879625340712,"lon":106.62396117894649}
2024-07-07T00:25:46.286554691Z,{"lat":11.102717525900172,"lon":106.62404338326186}
2024-07-07T00:25:47.306521098Z,{"lat":11.102556815875051,"lon":106.62411797124737}
2024-07-07T00:25:48.316193899Z,{"lat":11.1023878839052,"lon":106.62419661908669}
2024-07-07T00:25:49.336599049Z,{"lat":11.10221670501987,"lon":106.62427198077879}
2024-07-07T00:25:50.353684173Z,{"lat":11.101857889783284,"lon":106.62441253519303}
2024-07-07T00:25:51.366218807Z,{"lat":11.101681664474581,"lon":106.62448466506652}
2024-07-07T00:25:52.389287629Z,{"lat":11.101681664474581,"lon":106.62448466506652}
2024-07-07T00:25:53.409459753Z,{"lat":11.101325998045132,"lon":106.62463988245466}
2024-07-07T00:25:54.426469632Z,{"lat":11.101146038778095,"lon":106.62471952959476}
2024-07-07T00:25:55.436182362Z,{"lat":11.10097433634426,"lon":106.62480465786221}
2024-07-07T00:25:56.456218072Z,{"lat":11.100809710497707,"lon":106.62488200812157}
2024-07-07T00:25:57.471080173Z,{"lat":11.100642878939068,"lon":106.6249591363697}
2024-07-07T00:25:58.49716349Z,{"lat":11.10047144651714,"lon":106.6250301026567}
2024-07-07T00:25:59.489257461Z,{"lat":11.100303794967077,"lon":106.625105518123}
2024-07-07T00:26:00.516428884Z,{"lat":11.10013989765079,"lon":106.6251708571319}
2024-07-07T00:26:01.52128154Z,{"lat":11.09998018415926,"lon":106.62523836461207}
2024-07-07T00:26:02.559461178Z,{"lat":11.099828874320307,"lon":106.62529051404819}
2024-07-07T00:26:03.561425586Z,{"lat":11.099668147270666,"lon":106.62533617712225}
2024-07-07T00:26:04.586326221Z,{"lat":11.099499161990044,"lon":106.62537456573283}
2024-07-07T00:26:05.601405912Z,{"lat":11.099319540729121,"lon":106.62541213990856}
2024-07-07T00:26:06.601518415Z,{"lat":11.099140475603491,"lon":106.62544017433986}
2024-07-07T00:26:07.636434323Z,{"lat":11.09896517853137,"lon":106.62546490603617}
2024-07-07T00:26:08.659384675Z,{"lat":11.09878797096127,"lon":106.6254806636642}
2024-07-07T00:26:09.676182408Z,{"lat":11.098623290641365,"lon":106.62549109601063}
2024-07-07T00:26:10.686097016Z,{"lat":11.098466493580949,"lon":106.62550225427486}
2024-07-07T00:26:11.684914131Z,{"lat":11.0983254550304,"lon":106.62551975265768}
2024-07-07T00:26:12.715766659Z,{"lat":11.098197954333445,"lon":106.62553355424676}
2024-07-07T00:26:13.745785894Z,{"lat":11.098082217588916,"lon":106.62555165425967}
2024-07-07T00:26:14.735560535Z,{"lat":11.097981462469944,"lon":106.62556888933906}
2024-07-07T00:26:15.730831571Z,{"lat":11.097895934597137,"lon":106.62558245712341}
2024-07-07T00:26:16.735939561Z,{"lat":11.097833949646105,"lon":106.62558828101757}
2024-07-07T00:26:17.765860978Z,{"lat":11.097780520727722,"lon":106.62558996595862}
2024-07-07T00:26:18.766342918Z,{"lat":11.097739452381257,"lon":106.62559117309311}
2024-07-07T00:26:19.785565485Z,{"lat":11.097710157481162,"lon":106.62559462132104}
2024-07-07T00:26:20.805484957Z,{"lat":11.097682665629886,"lon":106.62559184848824}
2024-07-07T00:26:21.800640527Z,{"lat":11.09766752930511,"lon":106.62558949053083}
2024-07-07T00:26:22.835652616Z,{"lat":11.097670843799047,"lon":106.62558814818227}
2024-07-07T00:26:23.855690352Z,{"lat":11.097671359294548,"lon":106.62558862485332}
2024-07-07T00:26:24.865840836Z,{"lat":11.097676366593266,"lon":106.62559037833536}
2024-07-07T00:26:25.885586595Z,{"lat":11.097674504442747,"lon":106.62559186287531}
2024-07-07T00:26:26.906187789Z,{"lat":11.097675526895243,"lon":106.6255911121839}
2024-07-07T00:26:27.915974389Z,{"lat":11.097676088026809,"lon":106.62559125649139}
2024-07-07T00:26:28.936080552Z,{"lat":11.097676088026809,"lon":106.62559125649139}
2024-07-07T00:26:29.955779337Z,{"lat":11.097675752618567,"lon":106.62558646572178}
2024-07-07T00:26:30.940680039Z,{"lat":11.09767603908855,"lon":106.62558444397828}
2024-07-07T00:26:31.996080116Z,{"lat":11.097675897529209,"lon":106.62558159681245}
2024-07-07T00:26:33.005880498Z,{"lat":11.09767234121196,"lon":106.62557980876826}
2024-07-07T00:26:34.015820492Z,{"lat":11.097671775691582,"lon":106.62557783257444}
2024-07-07T00:26:35.046029626Z,{"lat":11.09767105473969,"lon":106.62557543152262}
2024-07-07T00:26:36.035868478Z,{"lat":11.097671521378496,"lon":106.62557437708954}
2024-07-07T00:26:37.065717133Z,{"lat":11.097671521378496,"lon":106.62557437708954}
2024-07-07T00:26:38.066519889Z,{"lat":11.097671521378496,"lon":106.62557437708954}
2024-07-07T00:26:39.085595682Z,{"lat":11.097672482050983,"lon":106.6255694945397}
2024-07-07T00:26:40.11175064Z,{"lat":11.097673172511994,"lon":106.62556843252871}
2024-07-07T00:26:41.110427283Z,{"lat":11.097674206539189,"lon":106.62556702064204}
2024-07-07T00:26:42.141087889Z,{"lat":11.097673752240043,"lon":106.62556693189161}
2024-07-07T00:26:43.150739111Z,{"lat":11.097672189624678,"lon":106.62556601906408}
2024-07-07T00:26:44.185796811Z,{"lat":11.09767057944215,"lon":106.62556565231486}
2024-07-07T00:26:45.205656958Z,{"lat":11.097660710478888,"lon":106.62556795408416}
2024-07-07T00:26:46.200903969Z,{"lat":11.097634182107203,"lon":106.62557474938862}
2024-07-07T00:26:47.215852711Z,{"lat":11.097592114707114,"lon":106.62558660433149}
2024-07-07T00:26:48.255919438Z,{"lat":11.097524274482558,"lon":106.62560455221566}
2024-07-07T00:26:49.260692221Z,{"lat":11.09743611779933,"lon":106.62561941020938}
2024-07-07T00:26:50.29368493Z,{"lat":11.097334761397,"lon":106.62563279796696}
2024-07-07T00:26:51.286605404Z,{"lat":11.09722476514156,"lon":106.62565163710184}
2024-07-07T00:26:52.315594093Z,{"lat":11.097100090660494,"lon":106.62566615312883}
2024-07-07T00:26:53.325845986Z,{"lat":11.096965387990009,"lon":106.62568323933614}
2024-07-07T00:26:54.340859954Z,{"lat":11.096673677412792,"lon":106.625723187957}
2024-07-07T00:26:55.365453061Z,{"lat":11.096516211274375,"lon":106.62573666967698}
2024-07-07T00:26:56.365880098Z,{"lat":11.096358159248522,"lon":106.62575036477861}
2024-07-07T00:26:57.37380149Z,{"lat":11.096199935078321,"lon":106.62576838402993}
2024-07-07T00:26:58.405737986Z,{"lat":11.096036711638488,"lon":106.62578601272332}
2024-07-07T00:26:59.415754146Z,{"lat":11.095868203500594,"lon":106.6258117197316}
2024-07-07T00:27:00.43619975Z,{"lat":11.095698454745746,"lon":106.6258421579243}
2024-07-07T00:27:01.445985478Z,{"lat":11.095536542252043,"lon":106.62586777259204}
2024-07-07T00:27:02.465866078Z,{"lat":11.095364253904746,"lon":106.62589649063422}
2024-07-07T00:27:03.486061329Z,{"lat":11.095198446366114,"lon":106.62592110262449}
2024-07-07T00:27:04.495695054Z,{"lat":11.095032115156798,"lon":106.62594616925645}
2024-07-07T00:27:05.525832187Z,{"lat":11.094857236885058,"lon":106.62597022392929}
2024-07-07T00:27:06.523874778Z,{"lat":11.094679799899962,"lon":106.62598789824621}
2024-07-07T00:27:07.555832379Z,{"lat":11.094498768437722,"lon":106.6260032820782}
2024-07-07T00:27:08.565691767Z,{"lat":11.094316215399939,"lon":106.62601757361179}
2024-07-07T00:27:09.588944101Z,{"lat":11.094133728148975,"lon":106.62603262307542}
2024-07-07T00:27:10.605767405Z,{"lat":11.093954530881488,"lon":106.62605261031304}
2024-07-07T00:27:11.615639543Z,{"lat":11.093772345429366,"lon":106.62607699088991}
2024-07-07T00:27:12.628676651Z,{"lat":11.093586962612985,"lon":106.62609542026715}
2024-07-07T00:27:13.648904999Z,{"lat":11.093398190196616,"lon":106.6261058862281}
2024-07-07T00:27:14.669087086Z,{"lat":11.093209860994634,"lon":106.62612444227295}
2024-07-07T00:27:15.668694291Z,{"lat":11.093015972116708,"lon":106.62613962862427}
2024-07-07T00:27:16.688759512Z,{"lat":11.092819747317332,"lon":106.6261594252764}
2024-07-07T00:27:17.698583548Z,{"lat":11.092622187816382,"lon":106.62617743754913}
2024-07-07T00:27:18.698705469Z,{"lat":11.092427166358375,"lon":106.62619480042112}
2024-07-07T00:27:19.729257164Z,{"lat":11.09223209913971,"lon":106.62621465209604}
2024-07-07T00:27:20.753754244Z,{"lat":11.09203855477114,"lon":106.62623762655967}
2024-07-07T00:27:21.768986961Z,{"lat":11.091843489143068,"lon":106.62626320556332}
2024-07-07T00:27:22.779028493Z,{"lat":11.091655927768528,"lon":106.62628265824183}
2024-07-07T00:27:23.798789577Z,{"lat":11.091465646542485,"lon":106.62629833689846}
2024-07-07T00:27:24.818617838Z,{"lat":11.091271242129261,"lon":106.62631191666217}
2024-07-07T00:27:25.828775057Z,{"lat":11.091077825365787,"lon":106.62632457500108}
2024-07-07T00:27:26.848644983Z,{"lat":11.090882441746594,"lon":106.62633789082405}
2024-07-07T00:27:27.868775924Z,{"lat":11.090683032629597,"lon":106.62634620334077}
2024-07-07T00:27:28.875488304Z,{"lat":11.090481703896398,"lon":106.62635376104205}
2024-07-07T00:27:29.898500194Z,{"lat":11.090284235885338,"lon":106.6263667096909}
2024-07-07T00:27:30.903515823Z,{"lat":11.090086209517414,"lon":106.6263819074241}
2024-07-07T00:27:31.908595997Z,{"lat":11.08988919281021,"lon":106.62639455558242}
2024-07-07T00:27:32.941678482Z,{"lat":11.089689574743186,"lon":106.62641135371574}
2024-07-07T00:27:33.949873205Z,{"lat":11.089486853130218,"lon":106.62642491814202}
2024-07-07T00:27:34.980599453Z,{"lat":11.089285761685858,"lon":106.62644062129824}
2024-07-07T00:27:35.973376929Z,{"lat":11.089080455513688,"lon":106.62645153895842}
2024-07-07T00:27:36.9976607Z,{"lat":11.088872989858897,"lon":106.62645831030936}
2024-07-07T00:27:38.025863111Z,{"lat":11.088661415856606,"lon":106.6264641812622}
2024-07-07T00:27:39.042226508Z,{"lat":11.08845315984895,"lon":106.62647635851565}
2024-07-07T00:27:40.04789791Z,{"lat":11.088242143932733,"lon":106.6264867598841}
2024-07-07T00:27:41.046564109Z,{"lat":11.08803214228333,"lon":106.62649616539422}
2024-07-07T00:27:42.089206035Z,{"lat":11.08782267595488,"lon":106.62649999476822}
2024-07-07T00:27:43.104384328Z,{"lat":11.087610560535424,"lon":106.62649898689958}
2024-07-07T00:27:44.1114545Z,{"lat":11.087403964161206,"lon":106.62650213578112}
2024-07-07T00:27:45.131632797Z,{"lat":11.087207292048799,"lon":106.62650836387714}
2024-07-07T00:27:46.15161071Z,{"lat":11.08701810830129,"lon":106.62650410741485}
2024-07-07T00:27:47.171083905Z,{"lat":11.086827953216618,"lon":106.62649753709839}
2024-07-07T00:27:48.181209078Z,{"lat":11.086640528212639,"lon":106.62649426354038}
2024-07-07T00:27:49.20633224Z,{"lat":11.086450996850258,"lon":106.62649176163264}
2024-07-07T00:27:50.216081668Z,{"lat":11.086262351753255,"lon":106.62648695904072}
2024-07-07T00:27:51.21128623Z,{"lat":11.08607142548811,"lon":106.62648043067381}
2024-07-07T00:27:52.251016853Z,{"lat":11.085883992277815,"lon":106.6264789199733}
2024-07-07T00:27:53.244555424Z,{"lat":11.085692385565448,"lon":106.6264710084673}
2024-07-07T00:27:54.281131393Z,{"lat":11.08550220484246,"lon":106.62646551452764}
2024-07-07T00:27:55.301097913Z,{"lat":11.085313713952498,"lon":106.62646397649051}
2024-07-07T00:27:56.314001353Z,{"lat":11.085122153180242,"lon":106.6264611649401}
2024-07-07T00:27:57.31952148Z,{"lat":11.084932728617998,"lon":106.6264597574461}
2024-07-07T00:27:58.352114669Z,{"lat":11.084557594329944,"lon":106.62645277717101}
2024-07-07T00:27:59.349311454Z,{"lat":11.084369875794705,"lon":106.62644505714098}
2024-07-07T00:28:00.359701842Z,{"lat":11.084181977685224,"lon":106.62644133988105}
2024-07-07T00:28:01.359166603Z,{"lat":11.083994593737666,"lon":106.62643658371121}
2024-07-07T00:28:02.404140067Z,{"lat":11.083808811151995,"lon":106.626434857433}
2024-07-07T00:28:03.409133447Z,{"lat":11.083620042166267,"lon":106.62643159412956}
2024-07-07T00:28:04.429134713Z,{"lat":11.083426709801657,"lon":106.6264289847836}
2024-07-07T00:28:05.454454484Z,{"lat":11.083233520557087,"lon":106.6264229872326}
2024-07-07T00:28:06.443980904Z,{"lat":11.083036612248584,"lon":106.62642332190629}
2024-07-07T00:28:07.479522752Z,{"lat":11.082841518688397,"lon":106.62642668951517}
2024-07-07T00:28:08.499388475Z,{"lat":11.08264533756658,"lon":106.62643207146016}
2024-07-07T00:28:09.519634195Z,{"lat":11.082447781166591,"lon":106.62643555372671}
2024-07-07T00:28:10.529173967Z,{"lat":11.082255033257118,"lon":106.62643580995986}
2024-07-07T00:28:11.549264425Z,{"lat":11.082063837886606,"lon":106.62644051991364}
2024-07-07T00:28:12.559306781Z,{"lat":11.081872616958668,"lon":106.6264488270505}
2024-07-07T00:28:13.56430434Z,{"lat":11.08168060863091,"lon":106.62645251727537}
2024-07-07T00:28:14.579464344Z,{"lat":11.081486767391464,"lon":106.62646073962705}
2024-07-07T00:28:15.599485935Z,{"lat":11.081297070787578,"lon":106.6264707798169}
2024-07-07T00:28:16.616202531Z,{"lat":11.0811085872861,"lon":106.6264795586904}
2024-07-07T00:28:17.652557306Z,{"lat":11.080921160435235,"lon":106.6264862389919}
2024-07-07T00:28:18.653322525Z,{"lat":11.080739674505919,"lon":106.62649049695248}
2024-07-07T00:28:19.660326637Z,{"lat":11.08056701830604,"lon":106.62649153840906}
2024-07-07T00:28:20.695649552Z,{"lat":11.080393928953777,"lon":106.6265017494715}
2024-07-07T00:28:21.720104821Z,{"lat":11.080224622619184,"lon":106.62651303902382}
2024-07-07T00:28:22.725375654Z,{"lat":11.080059936770642,"lon":106.62652560666172}
2024-07-07T00:28:23.745207023Z,{"lat":11.079905891744593,"lon":106.62654446051927}
2024-07-07T00:28:24.765543489Z,{"lat":11.07976324570456,"lon":106.62656983824247}
2024-07-07T00:28:25.785523522Z,{"lat":11.079626310740016,"lon":106.62659658849583}
2024-07-07T00:28:26.795411565Z,{"lat":11.079494101597932,"lon":106.62663497705589}
2024-07-07T00:28:27.815648116Z,{"lat":11.079356319643301,"lon":106.6266880098759}
2024-07-07T00:28:28.825507352Z,{"lat":11.079213556254512,"lon":106.62673871563638}
